"";"idPartida";"id";"jogador";"equipe";"tipo";"tempo";"quarto";"placar";"posX";"posY";"msg";"X"
"NA.10709";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10710";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10711";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10712";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10713";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10714";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10715";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10716";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10717";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10718";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10719";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10720";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10721";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10722";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10723";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10724";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10725";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10726";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10727";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10728";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10729";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10730";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10731";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10732";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10733";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10734";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10735";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10736";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10737";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10738";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10739";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10740";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10741";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10742";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10743";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10744";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10745";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10746";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10747";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10748";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10749";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10750";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10751";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10752";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10753";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10754";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10755";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10756";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10757";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10758";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10759";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10760";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10761";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10762";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10763";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10764";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10765";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10766";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10767";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10768";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10769";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10770";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10771";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10772";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10773";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10774";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10775";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10776";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10777";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10778";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10779";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10780";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10781";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10782";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10783";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10784";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10785";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10786";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10787";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10788";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10789";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10790";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10791";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10792";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10793";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10794";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10795";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10796";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10797";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10798";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10799";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10801";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10802";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10803";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10804";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257428";3638;1539;78;3;"SBS";"04:48";4;"69 x 39";NA;NA;"Sai G. Giovannoni ";NA
"NA.10805";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257448";3638;1519;78;3;"LLC";"05:50";4;"67 x 38";NA;NA;"G. Giovannoni acerta o lance livre. (1/1 - 100.0% - Equipe: 7/8 - 87.5%)";NA
"257449";3638;1518;78;3;"A2C";"05:50";4;"66 x 38";51.5;134;"G. Giovannoni acerta arremesso de dois pontos. (2/4 - 50.0% - Equipe: 18/32 - 56.3%)";NA
"257450";3638;1517;78;3;"FAR";"05:50";4;"64 x 38";NA;NA;"G. Giovannoni sofre falta. ";NA
"257460";3638;1507;78;3;"A2E";"06:39";4;"64 x 38";71.5;110;"G. Giovannoni erra tentativa para dois pontos. (1/3 - 33.3% - Equipe: 17/31 - 54.8%)";NA
"257467";3638;1500;78;3;"FAC";"07:17";4;"64 x 36";NA;NA;"G. Giovannoni comete falta. (1 falta(s) - Equipe: 15 falta(s))";NA
"257474";3638;1493;78;3;"RED";"08:07";4;"62 x 36";NA;NA;"G. Giovannoni pega rebote defensivo. (3 rebote(s) - Equipe: 30 rebote(s))";NA
"NA.10806";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10807";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257504";3638;1463;78;3;"SBE";"10:00";4;"60 x 34";NA;NA;"Entra G. Giovannoni ";NA
"NA.10808";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257518";3638;1439;78;3;"SBE";"00:35";3;"57 x 33";NA;NA;"Entra G. Giovannoni ";NA
"NA.10809";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257554";3638;1403;78;3;"SBS";"03:46";3;"51 x 29";NA;NA;"Sai G. Giovannoni ";NA
"257563";3638;1394;78;3;"RED";"03:56";3;"51 x 29";NA;NA;"G. Giovannoni pega rebote defensivo. (2 rebote(s) - Equipe: 21 rebote(s))";NA
"257581";3638;1376;78;3;"A3C";"05:24";3;"49 x 28";161.5;115;"É de três! G. Giovannoni acerta arremesso de três pontos. (1/5 - 20.0% - Equipe: 7/20 - 35.0%)";NA
"257583";3638;1374;78;3;"BOR";"05:31";3;"46 x 28";NA;NA;"G. Giovannoni recupera a bola. ";NA
"NA.10810";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257601";3638;1356;78;3;"ERR";"07:25";3;"43 x 22";NA;NA;"G. Giovannoni perde posse de bola. ";NA
"257605";3638;1352;78;3;"ASS";"07:54";3;"40 x 20";NA;NA;"Assistência do G. Giovannoni (1 assistência(s) - Equipe: 11 assistência(s))";NA
"257612";3638;1345;78;3;"A3E";"09:11";3;"38 x 18";134.5;52;"G. Giovannoni erra tentativa para três pontos. (0/4 - 0.0% - Equipe: 5/17 - 29.4%)";NA
"NA.10811";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257627";3638;1330;78;3;"SBE";"10:00";3;"36 x 18";NA;NA;"Entra G. Giovannoni ";NA
"NA.10812";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257638";3638;1309;78;3;"BOR";"00:24";2;"33 x 16";NA;NA;"G. Giovannoni recupera a bola. ";NA
"NA.10813";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257648";3638;1299;78;3;"A2C";"01:29";2;"30 x 16";401.5;125;"G. Giovannoni acerta arremesso de dois pontos. (1/2 - 50.0% - Equipe: 10/19 - 52.6%)";NA
"NA.10814";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257659";3638;1288;78;3;"A3E";"03:17";2;"28 x 14";311.5;161;"G. Giovannoni erra tentativa para três pontos. (0/3 - 0.0% - Equipe: 3/13 - 23.1%)";NA
"NA.10815";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10816";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257698";3638;1249;78;3;"SBE";"05:46";2;"21 x 10";NA;NA;"Entra G. Giovannoni ";NA
"NA.10817";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10818";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10819";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10820";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10821";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257784";3638;1153;78;3;"A3E";"02:01";1;"13 x 10";397.5;228;"G. Giovannoni erra tentativa para três pontos. (0/2 - 0.0% - Equipe: 2/7 - 28.6%)";NA
"257813";3638;1122;78;3;"RED";"04:53";1;"7 x 8";NA;NA;"G. Giovannoni pega rebote defensivo. (1 rebote(s) - Equipe: 4 rebote(s))";NA
"257832";3638;1103;78;3;"A2E";"06:27";1;"5 x 6";404.5;32;"G. Giovannoni erra tentativa para dois pontos. (0/1 - 0.0% - Equipe: 2/4 - 50.0%)";NA
"NA.10822";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10823";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257862";3638;1073;78;3;"A3E";"09:49";1;"0 x 0";297.5;144;"G. Giovannoni erra tentativa para três pontos. (0/1 - 0.0% - Equipe: 0/1 - 0.0%)";NA
"257870";3638;1065;78;3;"SBE";"10:00";1;"0 x 0";NA;NA;"Entra G. Giovannoni ";NA
"NA.10824";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10825";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10826";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10827";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10828";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10829";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10830";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10831";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10832";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10833";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10834";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10835";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10836";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10837";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10838";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10839";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10840";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10841";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10842";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10843";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10844";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10845";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10846";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10847";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10848";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10849";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10850";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10851";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10852";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10853";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10854";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10855";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10856";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10857";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10858";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10859";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10860";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10861";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10862";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10863";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10864";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10865";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10866";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10867";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10868";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10869";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10870";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10871";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10872";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10873";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10874";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10875";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10876";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10877";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10878";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10879";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10880";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10881";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10882";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10883";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10884";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10885";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10886";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10887";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10888";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10889";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10890";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10891";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10892";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10893";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10894";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10895";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10896";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10897";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10898";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10899";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10901";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10902";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10903";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10904";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10905";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10906";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10907";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10908";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10909";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10910";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10911";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10912";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10913";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10914";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10915";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10916";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10917";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10918";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10919";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10920";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10921";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10922";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10923";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10924";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10925";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10926";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10927";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10928";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10929";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10930";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10931";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10932";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10933";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10934";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10935";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10936";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10937";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10938";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10939";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10940";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10941";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10942";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10943";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10944";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10945";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10946";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10947";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10948";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10949";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10950";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10951";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10952";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10953";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10954";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10955";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10956";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10957";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10958";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10959";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10960";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10961";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10962";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10963";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10964";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10965";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10966";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10967";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10968";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10969";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10970";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10971";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10972";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10973";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10974";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10975";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10976";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10977";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10978";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10979";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10980";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10981";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10982";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10983";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10984";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10985";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10986";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
